MG_RS00145,BBF10K_001465
pth,BBF10K_000966
MPN088,BBF10K_000837
rplQ,BBF10K_000934
MG_RS00535,BBF10K_001543
MG_RS01700,BBF10K_001752
MPN155a,BBF10K_000895
MG_RS02090,BBF10K_001820
MG_RS02485,BBF10K_001896
MPN291,BBF10K_001041
yidA,BBF10K_001128
MPN330,BBF10K_001079
MPN398,BBF10K_001146
MPN509,BBF10K_001255
MG_RS01760,BBF10K_001763
MG_RS00330,BBF10K_001502
MG_RS02815,BBF10K_001651
MPN369,BBF10K_001116
MG_RS01590,BBF10K_001735
MPN085,BBF10K_000834
MPN139,BBF10K_000880
pheS,BBF10K_000848
MPN534,BBF10K_001282
MG_RS02035,BBF10K_001809
MG_RS00385,BBF10K_001513
MG_RS00965,BBF10K_001625
MG_RS02580,BBF10K_001916
MG_RS01805,BBF10K_001772
spg,BBF10K_001318
MG_RS02345,BBF10K_001868
MPN030,BBF10K_000778
rplM,BBF10K_001369
MPN375,BBF10K_001121
yidA,BBF10K_001130
MG_RS02340,BBF10K_001867
nrdE,BBF10K_001073
MG_RS00925,BBF10K_001617
MPN329,BBF10K_001078
MPN349,BBF10K_001097
MG_RS02240,BBF10K_001848
MG_RS01070,BBF10K_001647
MPN335,BBF10K_001084
glpQ,BBF10K_001171
MG_RS02350,BBF10K_001869
polC,BBF10K_000782
rplS,BBF10K_001409
MPN297,BBF10K_001047
tklB,BBF10K_000831
MPN162,BBF10K_000903
MPN368,BBF10K_001115
MG_RS00340,BBF10K_001504
MPN431,BBF10K_001182
ppnK,BBF10K_001575
MPN177a,BBF10K_000919
MG_RS02260,BBF10K_001852
MPN485,BBF10K_001230
yibD,BBF10K_001228
MG_RS02505,BBF10K_001900
rbsC,BBF10K_001008
MG_RS00475,BBF10K_001531
MG_RS02830,BBF10K_001755
trsB,BBF10K_000776
nrdF,BBF10K_001071
MPN011,BBF10K_000759
MG_RS02185,BBF10K_001836
MPN103,BBF10K_000845
MPN469,BBF10K_001212
MG_RS02070,BBF10K_001816
MPN131,BBF10K_000871
devA,BBF10K_001434
rpmC,BBF10K_000914
MG_RS01660,BBF10K_001749
secA,BBF10K_000954
MG_RS02055,BBF10K_001813
MG_RS00170,BBF10K_001470
MG_RS01205,BBF10K_001673
MPN489a,BBF10K_001235
prfA,BBF10K_001110
MPN084,BBF10K_000833
MPN529,BBF10K_001277
MPN364,BBF10K_001113
MG_RS00085,BBF10K_001453
MG_RS02440,BBF10K_001887
MPN036,BBF10K_000784
MG_RS02245,BBF10K_001849
MPN663,BBF10K_001414
secY,BBF10K_000926
MG_RS01545,BBF10K_001726
MG_RS00065,BBF10K_001451
deoC,BBF10K_000812
MPN264,BBF10K_001012
ssb,BBF10K_000975
MG_RS02565,BBF10K_001913
ung,BBF10K_000981
MG_RS02845,BBF10K_001845
MG_RS02010,BBF10K_001804
MPN474,BBF10K_001217
MPN399,BBF10K_001147
MG_RS01400,BBF10K_001702
MPN423,BBF10K_001174
mraW,BBF10K_001063
MPN440,BBF10K_001189
MPN588,BBF10K_001339
MG_RS02000,BBF10K_001802
pfkA,BBF10K_001052
MG_RS02590,BBF10K_001918
MPN542,BBF10K_001292
rpsB,BBF10K_000952
pcrA,BBF10K_001089
rpmE,BBF10K_001109
MG_RS00615,BBF10K_001559
MG_RS00360,BBF10K_001508
MG_RS02480,BBF10K_001895
MPN591,BBF10K_001342
ldh,BBF10K_001426
MG_RS01470,BBF10K_001716
MPN283,BBF10K_001032
rplR,BBF10K_000923
MPN393a,BBF10K_001141
MG_RS02755,BBF10K_001950
trmE,BBF10K_000756
MG_RS00570,BBF10K_001550
MG_RS00585,BBF10K_001553
MG_RS01105,BBF10K_001655
MG_RS00090,BBF10K_001454
infC,BBF10K_000857
greA,BBF10K_001149
rpsM,BBF10K_000931
hrcA,BBF10K_000866
P65,BBF10K_001057
rpsR,BBF10K_000976
MG_RS00895,BBF10K_001611
serS,BBF10K_000753
MG_RS01605,BBF10K_001738
MG_RS01765,BBF10K_001764
MPN590,BBF10K_001341
MG_RS00280,BBF10K_001492
rplJ,BBF10K_001287
MPN316a,BBF10K_001065
cysS,BBF10K_001104
MPN638,BBF10K_001388
MPN006,BBF10K_000754
MG_RS01510,BBF10K_001720
fus,BBF10K_000973
MPN107,BBF10K_000850
degV,BBF10K_001415
fruK,BBF10K_000828
MG_RS01060,BBF10K_001645
MG_RS01330,BBF10K_001689
yb95,BBF10K_000768
MG_RS02145,BBF10K_001829
MG_RS00425,BBF10K_001521
MG_RS01380,BBF10K_001698
MG_RS00105,BBF10K_001457
MG_RS01095,BBF10K_001653
yyaF,BBF10K_000774
MPN129,BBF10K_000869
rpsO,BBF10K_001374
MPN337,BBF10K_001086
rpoB,BBF10K_001263
MG_RS02360,BBF10K_001871
recA,BBF10K_001236
MG_RS02315,BBF10K_001863
outB,BBF10K_001312
MPN372,BBF10K_001118
MG_RS01450,BBF10K_001712
MPN284,BBF10K_001033
arcC,BBF10K_001055
MPN625,BBF10K_001377
MG_RS00120,BBF10K_001460
MPN044a,BBF10K_000789
MG_RS02680,BBF10K_001935
MG_RS01775,BBF10K_001766
MG_RS00980,BBF10K_001629
MG_RS01425,BBF10K_001707
rplV,BBF10K_000911
MG_RS00910,BBF10K_001614
MG_RS00610,BBF10K_001558
MPN153a,BBF10K_000893
MG_RS00410,BBF10K_001518
MPN509a,BBF10K_001256
MG_RS02155,BBF10K_001830
MG_RS02600,BBF10K_001920
orf6,BBF10K_000883
MPN621,BBF10K_001373
MPN373,BBF10K_001119
ctaD,BBF10K_001203
hsdM,BBF10K_001091
lacA,BBF10K_001347
MG_RS02805,BBF10K_001628
plsB,BBF10K_001049
cpsG,BBF10K_000815
MPN027,BBF10K_000775
MG_RS00885,BBF10K_001609
MG_RS00315,BBF10K_001500
MG_RS00375,BBF10K_001511
MPN268,BBF10K_001016
MG_RS00130,BBF10K_001462
MPN086,BBF10K_000835
MG_RS00745,BBF10K_001584
MG_RS00765,BBF10K_001588
MG_RS00240,BBF10K_001484
MPN413,BBF10K_001164
oppB,BBF10K_000959
MG_RS00845,BBF10K_001601
MG_RS01820,BBF10K_001775
degV,BBF10K_001215
yefE,BBF10K_001028
MG_RS01065,BBF10K_001646
MPN544,BBF10K_001294
MG_RS01375,BBF10K_001697
grpE,BBF10K_000862
rpsH,BBF10K_000921
MG_RS01770,BBF10K_001765
MPN083,BBF10K_000832
MG_RS02730,BBF10K_001945
MG_RS01560,BBF10K_001729
MG_RS02525,BBF10K_001904
deoA,BBF10K_000813
gyrA,BBF10K_000752
yjfW,BBF10K_001239
MG_RS02140,BBF10K_001828
MPN130,BBF10K_000870
MPN528a,BBF10K_001276
MG_RS00140,BBF10K_001464
MG_RS00540,BBF10K_001544
uvrB,BBF10K_000955
MG_RS00325,BBF10K_001501
groEL,BBF10K_001323
MPN152,BBF10K_000891
cfxE,BBF10K_000997
potB,BBF10K_000804
licA,BBF10K_001280
nox,BBF10K_001142
MG_RS00565,BBF10K_001549
MG_RS00600,BBF10K_001556
MG_RS01385,BBF10K_001699
MPN585,BBF10K_001336
MG_RS02795,BBF10K_001493
MPN272,BBF10K_001022
secG,BBF10K_000988
MG_RS01520,BBF10K_001722
rpsN,BBF10K_001618
MG_RS00115,BBF10K_001459
MPN259,BBF10K_001007
MPN035,BBF10K_000783
obgE,BBF10K_001313
MPN587,BBF10K_001338
MPN408a,BBF10K_001157
MG_RS02265,BBF10K_001853
hsdS1B,BBF10K_001039
engB,BBF10K_001225
MPN143,BBF10K_000884
MG_RS02540,BBF10K_001907
MG_RS01310,BBF10K_001685
A65_orf266,BBF10K_001024
MPN205,BBF10K_000949
MPN359,BBF10K_001108
parB,BBF10K_000864
MPN680,BBF10K_001431
MG_RS00790,BBF10K_001590
clpB,BBF10K_001279
MPN060a,BBF10K_000809
sigA,BBF10K_001100
rplD,BBF10K_000907
MG_RS01355,BBF10K_001693
MG_RS00640,BBF10K_001564
MG_RS02160,BBF10K_001831
MG_RS01075,BBF10K_001648
mtlD,BBF10K_001402
MG_RS00935,BBF10K_001619
pgsA,BBF10K_000999
MPN077,BBF10K_000826
MPN500,BBF10K_001247
thyA,BBF10K_001069
ftsY,BBF10K_001176
MG_RS00045,BBF10K_001447
MG_RS00865,BBF10K_001605
MG_RS01515,BBF10K_001721
MG_RS02305,BBF10K_001861
MG_RS00420,BBF10K_001520
MPN548,BBF10K_001298
MPN408,BBF10K_001158
glnQ,BBF10K_000830
MPN643,BBF10K_001393
MG_RS02170,BBF10K_001833
nusG,BBF10K_000816
MPN138,BBF10K_000879
MG_RS01570,BBF10K_001731
MG_RS02375,BBF10K_001874
MG_RS01000,BBF10K_001633
MPN613,BBF10K_001365
MG_RS00345,BBF10K_001505
MG_RS00705,BBF10K_001577
MG_RS02255,BBF10K_001851
MG_RS00545,BBF10K_001545
MPN391a,BBF10K_001138
MG_RS02500,BBF10K_001899
ptsI,BBF10K_001379
rpsC,BBF10K_000912
MG_RS00635,BBF10K_001563
MG_RS01755,BBF10K_001762
MG_RS01350,BBF10K_001692
MPN149,BBF10K_000888
MPN555,BBF10K_001305
MPN271,BBF10K_001020
MG_RS02215,BBF10K_001842
MG_RS02520,BBF10K_001903
MG_RS02005,BBF10K_001803
MG_RS01790,BBF10K_001769
MG_RS00650,BBF10K_001566
MG_RS00460,BBF10K_001528
MG_RS01460,BBF10K_001714
nusA,BBF10K_000894
MPN095,BBF10K_000841
MG_RS00960,BBF10K_001624
MG_RS01695,BBF10K_001751
yjfU,BBF10K_001241
MPN670,BBF10K_001421
MG_RS01430,BBF10K_001708
MG_RS02455,BBF10K_001890
MG_RS00035,BBF10K_001445
MG_RS02065,BBF10K_001815
MG_RS02020,BBF10K_001806
MG_RS00595,BBF10K_001555
yaaK,BBF10K_001025
MPN592,BBF10K_001343
MG_RS00720,BBF10K_001579
MG_RS02545,BBF10K_001909
MG_RS00490,BBF10K_001534
MG_RS01640,BBF10K_001745
MG_RS01620,BBF10K_001741
MG_RS01435,BBF10K_001709
MPN010,BBF10K_000758
MPN049,BBF10K_000797
MG_RS00675,BBF10K_001571
lspA,BBF10K_001043
MG_RS00940,BBF10K_001620
MPN365,BBF10K_001114
MG_RS01870,BBF10K_001785
MPN313,BBF10K_001061
MPN577,BBF10K_001327
rpmG,BBF10K_000818
MG_RS00205,BBF10K_001477
pyk,BBF10K_001053
MPN241,BBF10K_000987
MG_RS00175,BBF10K_001471
MPN626,BBF10K_001378
MG_RS00100,BBF10K_001456
P69,BBF10K_001168
MPN640,BBF10K_001390
rpmI,BBF10K_000858
MG_RS02570,BBF10K_001914
MPN589,BBF10K_001340
MG_RS01320,BBF10K_001687
hmw3,BBF10K_001200
mnmA,BBF10K_001173
