name,ncbi,wiki,protein,enzyme
yceQ,https://www.ncbi.nlm.nih.gov/gene?term=945640,http://ecoliwiki.net/colipedia/index.php/b1085,https://www.ncbi.nlm.nih.gov/protein/NP_415603.2,
fabA,https://www.ncbi.nlm.nih.gov/gene?term=945568,http://ecoliwiki.net/colipedia/index.php/b0954,https://www.ncbi.nlm.nih.gov/protein/NP_415474.1,https://enzyme.expasy.org/EC/4.2.1.595.3.3.14
minE,https://www.ncbi.nlm.nih.gov/gene?term=945740,http://ecoliwiki.net/colipedia/index.php/b1174,https://www.ncbi.nlm.nih.gov/protein/NP_415692.1,
tsf,https://www.ncbi.nlm.nih.gov/gene?term=944866,http://ecoliwiki.net/colipedia/index.php/b0170,https://www.ncbi.nlm.nih.gov/protein/NP_414712.1,
ispU,https://www.ncbi.nlm.nih.gov/gene?term=944874,http://ecoliwiki.net/colipedia/index.php/b0174,https://www.ncbi.nlm.nih.gov/protein/NP_414716.1,https://enzyme.expasy.org/EC/2.5.1.31
mukE,https://www.ncbi.nlm.nih.gov/gene?term=945550,http://ecoliwiki.net/colipedia/index.php/b0923,https://www.ncbi.nlm.nih.gov/protein/NP_415443.2,
map,https://www.ncbi.nlm.nih.gov/gene?term=947882,http://ecoliwiki.net/colipedia/index.php/b0168,https://www.ncbi.nlm.nih.gov/protein/NP_414710.1,https://enzyme.expasy.org/EC/3.4.11.18
murF,https://www.ncbi.nlm.nih.gov/gene?term=944813,http://ecoliwiki.net/colipedia/index.php/b0086,https://www.ncbi.nlm.nih.gov/protein/NP_414628.1,https://enzyme.expasy.org/EC/6.3.2.10
lolE,https://www.ncbi.nlm.nih.gov/gene?term=945665,http://ecoliwiki.net/colipedia/index.php/b1118,https://www.ncbi.nlm.nih.gov/protein/NP_415636.1,
asnS,https://www.ncbi.nlm.nih.gov/gene?term=945555,http://ecoliwiki.net/colipedia/index.php/b0930,https://www.ncbi.nlm.nih.gov/protein/NP_415450.1,https://enzyme.expasy.org/EC/6.1.1.22
rseP,https://www.ncbi.nlm.nih.gov/gene?term=944871,http://ecoliwiki.net/colipedia/index.php/b0176,https://www.ncbi.nlm.nih.gov/protein/NP_414718.1,https://enzyme.expasy.org/EC/3.4.24.-
mrdA,https://www.ncbi.nlm.nih.gov/gene?term=945240,http://ecoliwiki.net/colipedia/index.php/b0635,https://www.ncbi.nlm.nih.gov/protein/NP_415168.1,
ftsL,https://www.ncbi.nlm.nih.gov/gene?term=944803,http://ecoliwiki.net/colipedia/index.php/b0083,https://www.ncbi.nlm.nih.gov/protein/NP_414625.1,
ispH,https://www.ncbi.nlm.nih.gov/gene?term=944777,http://ecoliwiki.net/colipedia/index.php/b0029,https://www.ncbi.nlm.nih.gov/protein/NP_414570.1,https://enzyme.expasy.org/EC/1.17.1.2
folA,https://www.ncbi.nlm.nih.gov/gene?term=944790,http://ecoliwiki.net/colipedia/index.php/b0048,https://www.ncbi.nlm.nih.gov/protein/NP_414590.1,https://enzyme.expasy.org/EC/1.5.1.3
lpxK,https://www.ncbi.nlm.nih.gov/gene?term=945526,http://ecoliwiki.net/colipedia/index.php/b0915,https://www.ncbi.nlm.nih.gov/protein/NP_415435.1,https://enzyme.expasy.org/EC/2.7.1.130
lpxC,https://www.ncbi.nlm.nih.gov/gene?term=944816,http://ecoliwiki.net/colipedia/index.php/b0096,https://www.ncbi.nlm.nih.gov/protein/NP_414638.1,https://enzyme.expasy.org/EC/3.5.1.-
hemL,https://www.ncbi.nlm.nih.gov/gene?term=946892,http://ecoliwiki.net/colipedia/index.php/b0154,https://www.ncbi.nlm.nih.gov/protein/NP_414696.1,https://enzyme.expasy.org/EC/5.4.3.8
lpxB,https://www.ncbi.nlm.nih.gov/gene?term=944838,http://ecoliwiki.net/colipedia/index.php/b0182,https://www.ncbi.nlm.nih.gov/protein/NP_414724.1,https://enzyme.expasy.org/EC/2.4.1.182
lptE,https://www.ncbi.nlm.nih.gov/gene?term=946257,http://ecoliwiki.net/colipedia/index.php/b0641,https://www.ncbi.nlm.nih.gov/protein/NP_415174.1,
erpA,https://www.ncbi.nlm.nih.gov/gene?term=944857,http://ecoliwiki.net/colipedia/index.php/b0156,https://www.ncbi.nlm.nih.gov/protein/NP_414698.1,
murJ,https://www.ncbi.nlm.nih.gov/gene?term=945487,http://ecoliwiki.net/colipedia/index.php/b1069,https://www.ncbi.nlm.nih.gov/protein/NP_415587.1,
mukB,https://www.ncbi.nlm.nih.gov/gene?term=945549,http://ecoliwiki.net/colipedia/index.php/b0924,https://www.ncbi.nlm.nih.gov/protein/NP_415444.1,
nadD,https://www.ncbi.nlm.nih.gov/gene?term=945248,http://ecoliwiki.net/colipedia/index.php/b0639,https://www.ncbi.nlm.nih.gov/protein/NP_415172.1,https://enzyme.expasy.org/EC/2.7.7.18
lspA,https://www.ncbi.nlm.nih.gov/gene?term=944800,http://ecoliwiki.net/colipedia/index.php/b0027,https://www.ncbi.nlm.nih.gov/protein/NP_414568.1,https://enzyme.expasy.org/EC/3.4.23.36
dnaX,https://www.ncbi.nlm.nih.gov/gene?term=945105,http://ecoliwiki.net/colipedia/index.php/b0470,https://www.ncbi.nlm.nih.gov/protein/NP_415003.1,https://enzyme.expasy.org/EC/2.7.7.7
cdsA,https://www.ncbi.nlm.nih.gov/gene?term=944876,http://ecoliwiki.net/colipedia/index.php/b0175,https://www.ncbi.nlm.nih.gov/protein/NP_414717.2,https://enzyme.expasy.org/EC/2.7.7.41
folD,https://www.ncbi.nlm.nih.gov/gene?term=945221,http://ecoliwiki.net/colipedia/index.php/b0529,https://www.ncbi.nlm.nih.gov/protein/NP_415062.1,https://enzyme.expasy.org/EC/1.5.1.53.5.4.9
rpsA,https://www.ncbi.nlm.nih.gov/gene?term=945536,http://ecoliwiki.net/colipedia/index.php/b0911,https://www.ncbi.nlm.nih.gov/protein/NP_415431.1,
mukF,https://www.ncbi.nlm.nih.gov/gene?term=945548,http://ecoliwiki.net/colipedia/index.php/b0922,https://www.ncbi.nlm.nih.gov/protein/NP_415442.1,
leuS,https://www.ncbi.nlm.nih.gov/gene?term=947497,http://ecoliwiki.net/colipedia/index.php/b0642,https://www.ncbi.nlm.nih.gov/protein/NP_415175.1,https://enzyme.expasy.org/EC/6.1.1.4
tmk,https://www.ncbi.nlm.nih.gov/gene?term=945663,http://ecoliwiki.net/colipedia/index.php/b1098,https://www.ncbi.nlm.nih.gov/protein/NP_415616.1,https://enzyme.expasy.org/EC/2.7.4.9
murE,https://www.ncbi.nlm.nih.gov/gene?term=944791,http://ecoliwiki.net/colipedia/index.php/b0085,https://www.ncbi.nlm.nih.gov/protein/NP_414627.1,https://enzyme.expasy.org/EC/6.3.2.13
secD,https://www.ncbi.nlm.nih.gov/gene?term=949133,http://ecoliwiki.net/colipedia/index.php/b0408,https://www.ncbi.nlm.nih.gov/protein/NP_414942.1,
glnS,https://www.ncbi.nlm.nih.gov/gene?term=945310,http://ecoliwiki.net/colipedia/index.php/b0680,https://www.ncbi.nlm.nih.gov/protein/NP_415206.1,https://enzyme.expasy.org/EC/6.1.1.18
ribE,https://www.ncbi.nlm.nih.gov/gene?term=946453,http://ecoliwiki.net/colipedia/index.php/b0415,https://www.ncbi.nlm.nih.gov/protein/NP_414949.1,https://enzyme.expasy.org/EC/2.5.1.9
holA,https://www.ncbi.nlm.nih.gov/gene?term=947573,http://ecoliwiki.net/colipedia/index.php/b0640,https://www.ncbi.nlm.nih.gov/protein/NP_415173.1,https://enzyme.expasy.org/EC/2.7.7.7
rne,https://www.ncbi.nlm.nih.gov/gene?term=945641,http://ecoliwiki.net/colipedia/index.php/b1084,https://www.ncbi.nlm.nih.gov/protein/NP_415602.1,https://enzyme.expasy.org/EC/3.1.4.-
msbA,https://www.ncbi.nlm.nih.gov/gene?term=945530,http://ecoliwiki.net/colipedia/index.php/b0914,https://www.ncbi.nlm.nih.gov/protein/NP_415434.1,
dxr,https://www.ncbi.nlm.nih.gov/gene?term=945019,http://ecoliwiki.net/colipedia/index.php/b0173,https://www.ncbi.nlm.nih.gov/protein/NP_414715.1,https://enzyme.expasy.org/EC/1.1.1.267
mraY,https://www.ncbi.nlm.nih.gov/gene?term=944814,http://ecoliwiki.net/colipedia/index.php/b0087,https://www.ncbi.nlm.nih.gov/protein/NP_414629.1,https://enzyme.expasy.org/EC/2.7.8.13
