Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,TotalReuse
BBa_K896008,0,0,0,0,0,0,0,0,0,1,0,1,3,0,5
BBa_K778000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778002,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
BBa_K874021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K775007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K874090,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_S05074,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K874102,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K874040,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K899000,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
BBa_K899001,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
BBa_K874041,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K874060,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K874120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K899009,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
BBa_K899010,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K899007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_S05075,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K899008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_S05076,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K740000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K740001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K740002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K883000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K875002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809201,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
BBa_K809202,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K809005,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
BBa_K809203,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K809601,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
BBa_K809204,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
BBa_K809205,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
BBa_K809206,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K809301,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K809302,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809306,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778003,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K817000,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K778004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_S05078,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778005,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778007,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K778009,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K737071,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809009,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
BBa_K809402,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809403,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K809501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K798003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K798004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_K798005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBa_I5600,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
BBa_I5601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BBa_I4204,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
BBa_K798012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K798013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K798014,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
BBa_K886000,0,0,0,0,0,0,0,0,0,2,0,3,0,0,5
BBa_S05082,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K784035,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
BBa_S05083,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K886001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K864511,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_K762000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
BBa_B0034,159,965,580,295,614,547,798,353,367,273,259,373,440,14,6037
BBa_R0078,0,6,0,7,5,0,1,1,0,0,0,0,0,0,20
BBa_I761001,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I761004,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_R0082,0,8,13,14,16,4,6,17,7,8,8,1,11,0,113
BBa_B0012,242,883,627,299,519,580,732,264,39,71,70,52,86,1,4465
BBa_B0011,37,3,16,18,36,18,63,32,4,10,3,2,0,0,242
BBa_I761002,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I761003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I712004,0,0,0,0,36,62,1,0,1,2,0,1,0,0,103
BBa_I712003,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_B0032,29,46,64,49,45,187,89,99,54,34,49,70,50,9,874
BBa_E0030,0,105,72,24,23,23,36,5,18,2,3,6,1,0,318
BBa_E0020,0,29,35,22,27,2,19,13,8,2,5,3,0,0,165
BBa_R0010,37,70,25,55,77,76,204,118,53,50,27,70,38,1,901
BBa_C0061,18,80,22,23,8,25,9,7,9,22,9,12,11,1,256
BBa_C0261,0,0,0,5,11,13,17,4,3,0,13,0,2,0,68
BBa_I746000,0,0,0,0,7,0,0,1,0,0,0,0,0,0,8
BBa_C0051,44,110,72,11,14,33,20,15,33,21,15,9,2,1,400
BBa_R0051,26,73,87,9,27,18,17,6,11,5,23,27,6,0,335
BBa_B0010,205,883,610,288,490,565,678,257,48,77,70,55,96,1,4323
BBa_Q04510,2,10,0,1,9,5,16,1,2,5,0,0,1,0,52
BBa_I722005,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I13521,0,0,1,0,2,0,1,0,2,1,2,1,7,0,17
BBa_R0040,64,201,126,117,97,135,196,52,51,74,40,64,48,1,1266
BBa_E1010,0,2,69,19,32,18,26,37,58,38,28,35,65,0,427
BBa_C0171,0,4,1,0,1,5,4,0,4,0,16,2,0,1,38
BBa_I1466,0,0,0,0,2,0,0,0,1,0,0,4,4,0,11
BBa_S03823,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_R0071,0,32,3,4,1,5,4,2,5,0,10,0,0,0,66
BBa_S03824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_B0030,50,50,71,134,135,90,96,48,70,53,80,37,35,0,949
BBa_R0062,9,86,18,38,36,38,15,23,16,25,19,34,42,4,403
BBa_E0040,0,4,85,89,148,170,207,91,58,28,43,59,100,0,1082
BBa_A340620,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17
BBa_C0062,16,86,17,22,21,41,14,24,18,14,15,8,16,1,313
BBa_E0840,0,0,4,0,5,7,6,11,12,6,24,15,12,0,102
BBa_I0462,1,6,0,7,7,7,9,3,1,1,3,1,0,0,46
BBa_I732084,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I14032,0,3,0,25,21,9,10,13,1,3,7,0,3,0,95
BBa_I732205,0,0,0,0,5,0,0,0,0,1,0,0,0,0,6
BBa_I732112,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I732115,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6
BBa_I732922,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_J09855,0,0,0,9,6,0,12,2,2,11,0,0,2,0,44
BBa_I732086,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I732822,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I732815,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I732907,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I732102,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_C0012,40,71,23,23,30,38,36,11,6,13,11,8,9,0,319
BBa_P0412,0,0,0,2,7,4,0,2,0,15,0,6,1,0,37
BBa_I722007,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4
BBa_S03827,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I722008,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I714030,0,0,0,0,9,0,0,0,1,0,0,0,0,0,10
BBa_J23008,0,0,0,7,9,5,9,0,3,0,0,2,0,0,35
BBa_J23009,0,0,0,5,5,4,5,0,0,0,0,0,0,0,19
BBa_I746100,0,0,0,0,5,0,0,10,0,0,0,0,0,0,15
BBa_I712007,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I712008,0,0,0,0,7,38,0,0,0,0,0,0,0,0,45
BBa_I714889,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_B0015,7,87,12,93,54,94,135,109,243,191,260,254,332,13,1884
BBa_F2620,0,0,0,14,24,7,22,12,5,4,3,0,3,0,94
BBa_I728500,0,0,0,0,4,0,1,0,0,0,0,0,0,0,5
BBa_I714890,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I714891,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
BBa_B0014,0,0,0,4,14,2,23,44,34,21,4,2,16,1,165
BBa_I729001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_C0060,14,31,2,7,1,15,1,0,7,1,1,4,5,0,89
BBa_E5500,0,0,0,0,6,0,1,3,1,0,0,0,0,0,11
BBa_C0260,0,0,0,5,3,1,0,0,0,0,0,0,0,0,9
BBa_I714893,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I714894,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I712019,0,0,0,0,2,12,1,2,4,2,4,0,6,0,33
BBa_I712017,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I712020,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I750011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I714031,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4
BBa_I750013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I714032,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I712028,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8
BBa_I750016,0,0,0,0,0,1,7,2,0,1,0,0,0,0,11
BBa_I712015,0,0,0,0,9,0,0,0,0,4,0,0,0,0,13
BBa_J23078,0,0,0,2,2,7,5,0,0,0,0,0,0,0,16
BBa_J01010,0,0,4,2,5,0,3,0,2,0,6,5,3,0,30
BBa_I712002,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I722011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_C0070,0,18,7,1,1,12,1,0,3,2,2,3,0,0,50
BBa_I0405,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I712012,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_S03836,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I714901,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
BBa_I746200,0,0,0,0,14,0,0,1,0,0,1,0,0,0,16
BBa_J23116,0,0,0,0,13,8,13,10,6,5,1,7,5,0,68
BBa_C0040,45,90,11,12,36,23,36,10,21,37,11,15,4,0,351
BBa_P0440,0,2,0,3,5,0,7,0,7,20,9,9,5,0,67
BBa_S03724,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15
BBa_S03708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I759032,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759034,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759036,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I759040,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759042,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759044,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I759046,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I722014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742124,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I714033,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J01008,0,0,3,2,5,0,1,0,2,0,0,3,0,0,16
BBa_I742102,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4
BBa_I742126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I712009,0,0,0,0,5,56,0,0,0,0,0,0,0,0,61
BBa_I712022,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I712069,0,0,0,0,2,3,0,0,0,2,0,0,0,0,7
BBa_I742101,0,0,0,0,3,0,0,0,1,0,0,0,0,0,4
BBa_S0100,0,0,0,2,4,6,3,0,0,0,0,1,5,0,21
BBa_I763007,0,0,0,0,2,0,1,2,0,2,0,0,0,0,7
BBa_I13507,0,0,2,14,23,0,18,26,1,12,18,3,2,0,119
BBa_I763026,0,0,0,0,3,1,1,0,0,0,0,0,0,0,5
BBa_I763025,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J04031,0,0,2,0,16,24,9,0,3,0,4,0,1,0,59
BBa_I742129,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742130,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766200,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I742131,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766201,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I766202,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766203,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I712074,0,0,0,0,6,16,13,16,12,3,24,11,6,1,108
BBa_I712076,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I766204,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
BBa_I712077,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742133,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
BBa_I712078,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I766205,0,0,0,0,9,0,0,0,0,0,0,0,0,1,10
BBa_I766206,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9
BBa_I766207,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766210,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8
BBa_I742116,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
BBa_I766103,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13
BBa_I742137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742117,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
BBa_I742118,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_I712021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
BBa_J15001,0,0,0,0,13,22,33,7,10,0,9,0,2,0,96
BBa_I742107,0,0,0,0,2,0,2,0,0,0,1,0,0,0,5
BBa_I742114,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8
BBa_I742106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
BBa_I742112,0,0,0,0,2,0,6,0,0,0,0,0,0,0,8
BBa_J52008,0,0,0,2,5,34,2,0,4,0,5,0,0,0,52
BBa_J52642,0,0,0,1,9,2,1,0,0,0,0,0,0,0,13
BBa_I766214,0,0,0,0,5,1,0,0,0,0,0,0,0,0,6
BBa_I712082,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
